tract,GEOID,longitude,latitude,geometry,nearest_store_index,nearest_store_name,distance_to_nearest_store
040500,36083040500,-73.67624571733116,42.746018074165725,POINT (-73.67624571733116 42.746018074165725),2163,4 CORNER CONVENIENCE INC,492.9213361923426
040600,36083040600,-73.67992153620521,42.73343442747125,POINT (-73.67992153620521 42.73343442747125),15708,AL ZANDANI NABIL,472.3716442681455
040800,36083040800,-73.69292282790364,42.72508249114446,POINT (-73.69292282790364 42.72508249114446),17571,CAN STOP REDEMPTION CENTER &GROCERIES IN,238.38443841737924
040300,36047040300,-73.90820939865198,40.68452261065024,POINT (-73.90820939865198 40.684522610650234),4522,WISON DELI CORP,148.30978313223835
040500,36047040500,-73.90517628727368,40.681589046956134,POINT (-73.90517628727368 40.681589046956134),8924,ABERDEEN ORGANIC DELI INC,101.09839744388046
041100,36047041100,-73.9071509050678,40.68787868553221,POINT (-73.9071509050678 40.68787868553221),3273,ORGANIC FUSSION INC,26.585883226881226
041200,36047041200,-73.9741916184177,40.60415743862126,POINT (-73.9741916184177 40.604157438621264),5721,QUICK DELI & GRILL CORP,15.420145924197264
039500,36047039500,-73.9247375499803,40.69296831953324,POINT (-73.9247375499803 40.692968319533236),9607,BANI FOOD CENTER CORP,143.6593274134027
041300,36047041300,-73.91062000618264,40.68981459459923,POINT (-73.91062000618264 40.68981459459923),14421,SAM DETOX DELI & GRILL INC,30.95320871515773
039600,36047039600,-73.96970674940404,40.59734960283186,POINT (-73.96970674940404 40.59734960283186),10728,AKIVA GROCERY&POULTRY INC,64.7264006080839
039700,36047039700,-73.91913999901125,40.688948544831526,POINT (-73.91913999901125 40.68894854483152),2224,BUSHWICK GROCERY FOOD CORP,82.05684362402275
039800,36047039800,-73.97551242324538,40.59544682732465,POINT (-73.97551242324538 40.59544682732464),21482,DAIRY MAID RAVIOLI MFG CORP,131.16913393740188
039900,36047039900,-73.91755281994348,40.69023551941698,POINT (-73.91755281994348 40.690235519416966),1980,FAR DELI CORP,108.88884373995508
